post,name,id,url,content,time
0,新聞深喉嚨,DeepThroatNews,/DeepThroatNews?refid=8&__tn__=C-R,"快訊/上市水泥公司
老董驚傳辭世！
接班人選公布了",10月09日
1,東森新聞,news.ebc,/news.ebc?refid=8&_ft_=encrypted_tracking_data.0AY8VwalCwQbuyAI0caagc7sR2lfI6KNXqgzBWriEc8ALQR3bhYNvMNZcpoyDgh2likDioUgxuYgV1DFDFzRdJNIYV8sZ00UpSJ5LojqLm9Gc1k9t7Ot9m6C0gupj7SKjFIGQNNeyz2IO8hdHaXKABfB5n9c2jaZ63xu2ujHaXnGCckcI6F1_8K0RztTdMIXl6gQ5SnN8NnUT6Ch3g1O1KgdUbedrRROYpkK9CYNTXIgGmrkwIOSUwSHHVaszTFQXmmulnYfIYFERgfXYoqrhZgmRJRjlIJdgjubCzk1Sb4mzYJYF4ePnnTMduTrCcFrzpu6ojWkR96HSNqkB1grWGJicHck9R0A149Ow9pksgTkm8hxV4a8SZqyq15nGobKIneTGr3SxkNn-cfoHeVWTFWKEOAWWL5t3FCxHSrWWhjV3kE2pCmij0B4RHAiPEtHn7QPvVwwpEBHU9CpHJ-59pALA8gfMqbJmObxIwr-3xF_HjRUhO6OoeBzoarjQnZzr1jZ-_ZNT47M0BSBcyJWQBCk5EHlcvssRygRdmB3EvxKCoHW8r4cRsgBDgAA9LUBY0KZzvVyGr2DrElRkZfKnxtuXfxXtAB9ryFees3eSomitJf1jQ6z39zJA0sPNXvlV58EqZzZFrF6S7984z4NdIHKISPbuAuUSLKJPLq7exEywpd7SvJ2hJnfO8tYetUHy2G4AwhHJwlzhcgUnIo6ONKAvTS4NT-KlaUlUH5RkefU0diKPF-CuuoBCBURhb9CglQDN8u7Uo1NOJj84G4bwtEP8Wdfxb9uuWK16N5BhSaNdb1HEf7T5QLIkxAyZSuV09AQRSSCU7LOM2usP2lfrHe0XJCacyphSP3U6yDIsvqg_hFID8acdckc_jWFgsQStT80LTl5LfICsggfXAFpZS340qG0ZSOUW1E-YOhq1-QCXQnwjBTxLVAEnoPvBAvIqrC0j7p0QbSEi-MdUsboezuCT2z8MStpkL0fU0HdECMhv3MfKTj0VHrDfsz8uqRVSRzAg10laiyXx1UTBQ5fzX5ad2VfPRwtVlQNZG00SeuDJa5D6rdZEBWHfDJCxndvYjwxSwOCYSmkzHoTj5qIknq8c9qq8pKMlHZ0l1aRe4irrB9cVOjYk2qJUGBEkGJcxKpXu7aNK7FZzi-U1utwHsT1J01DQt69wE22SwYzQY_zf5jR8sfgDjdgb8tdOiJwW1HjPtHXDCWtJrkEqPviuz5WIuen0gBsqo5hPgZI4d2oXXt6WQqk8DuSz9jA090y0UXnjvzb47kqZTSj8G6QXQtYpZy2h_XvYKfF13wb2-44tXB3v0lV99LH-TTfHK1MNBtHatRAde_OSBlMZgL9qSIZUW31_FstjO8vsOTpCeKhK7_I&__tn__=C-R,"汪建民癌逝！
生前欠債沒錢下葬
醫嘆：末期每年燒百萬",10月09日
2,TVBS 新聞,tvbsfb,/tvbsfb?refid=8&_ft_=encrypted_tracking_data.0AY82DvwBcFOXkSA2ethPhEhes9TACgdtnNmvlLeHPvhkHSorjvpAksy4aJdgy_fgx_SOeIpoLb6oL6fs9GQgK2qI-5hp343RpHNEsEjQqDBR0C7embrpkdR_gduOyJ2W47xcAS_DwKH-FWZL-gJrtk150HBbmOYp7e1zh777WLiAvmBMiQAQ5xJbPqyEz85wKAmxyQ3oZ-mhkrJjlKS1ww2Re9dPzfw-jnFfqnDi6eGbjJTiLz3Wu2xu7Posfaf0rtqJt0izF-B7ZqngRaLr57ISc_hgnnBpGTC01Cj3ysU2mp_6m4UIsuhwayef5Wo2qaASW7Gxmib7bpKuRH9k-sx4nZd9PW5aPkSvrQy21b2WYKVX8eHKduZnBnQTfHqSotnVHOEQToQXsxMAsDJvc5E1PIE9OEP1MR7scn_R2KbdnAdMen-8Nngfw0YtZtrAWNKsti9FSQ68B1fxYfAH8pm3lUXcJRPcN-T23p_bhwPcn02U23zHE-VhyXUWnjGWXY1cc8QAy7q4aNC2dzebqONZznFGEGeWMlgbI3R670rNeLk5jAaM4JLSymjFXdqExMNTPki0ivc9UE0UE8dKdZQQHZ3MbMxiDhme3tzAsiXgZLxih46zmAFDZOHX0sYOsHsQR39E6IvKAKvIcaXCz0SHVyoIRSf6F8vPrrjCctXIfWm0wOQ3f5p2tP9Xki-Zd8Ru9yfz9OXfz0BeGdMy1EdjGKgEBvIBIYLcWFyrU29R_ZPJKzO5NqQpo2LB1MclHlM9tkwL1hOJeltclKcw7sI9dDwCa_m5ETod63zWPPlZbzjNqhHRB_K0tzagoorX4HPAa7CS9hXQ8c7PjDup076AQkZDmwFh7YZqapr8ah1xpJleGgORGsnpb0JqLPoHTjDAZ9a7eH4xnYt_7W046JwEUgbJfjAL64e_t5wiapvinEPSajTIYLwD399BOjfNiQzxCt6RCZSG6UPelGjRj34DqM8_ypWQrfBgRm1sopjjPBmoIBf4uD3kBXtv0Gj9_lCBy5DFYuLm_9v26RTQEMJADs1jR74I9COvBfXHOgh5qFzhuBZsTZUTUjd6nEWRo8VbMMq6ngQsl8O6UPySKrUi4fhkfN03VsVpGE4Ak_Xq22g0kTnpHbgVfIeqOU_D7fa5ksZ4Aod8s_KIZmmZeXwKtSCW_j4xgs3xkCHinwMuKKJVghQOWh8Z4Mvj3BgJpIgGUfHQKWQEXDYJ8UzVedyI4iAL2Yzk9VWW5Zn5jNMgqnQ1_nBKPBO4bD35O3gwR6yC7TBewtJSykM6M-ui5jqOw72gbXgcXel0B_8Td8m_HbyA9V2JHp-fJJLrrnZdbFvorj8_Dk9oonWiLp0NpNrTl15mghYYokKWk24Naqc17q0&__tn__=C-R,"英狠母允男友對2歲女兒施暴至死！
「屍體藏嬰兒車」
推出去遊3天後棄屍",10月09日
3,中天新聞,52news,/52news?refid=8&_ft_=encrypted_tracking_data.0AY86mzoJyyWHQ2qi9q5YKy_TKmL_M6sAEjHbkpkiOcBmMjDnS1JkjqErxDQw18lz9-Toli_OZvuAy22pAbNv5tBTeAwtYimEHgYtH2jcick-T1X3Yg2PselHO4kLXnXd1wNuIv6dOdcoPEZWTt319xjeLDZx-7nKeI1nn1gZS3T6uIMi2TS0NksYiAQ1pU5F7CHn0xw0xPjTcgd_lPuSm_POzQWmgg1Ua6GzLY49iEgAU5NfAHvi8v7ZiRPfWAewIOyn47WjDBGx_Zr1vB-Hg1A0f0bNlBxnXVMBpuOl7m73WBq8mvE98D-TVRMnajnJWzoRaApPjGRNRaVpoSGhbhUD4kIYAIjBK9UKToBGuLCgzda7_jTwFjIRbiZYuiOMYtSiGZLsk-JSPs0qHauGFYKQSncxtSpyXkv-opLwl7dGdLfALnsSUxXSqKmLytD6ijuC4F4eLk9pOJCdxnB3D8ivxuyfLKCWPjiVoD_ILjXM8cX5gNuY4jg-Y9H11AwFxrAsl7tiPgWHqBne58rakZ55tmZJGMNbWeiKWL25trCPpfTYgq6-5LH7j5huC_CR_E-Qkh-Tk1yELSkkeNix5qqEcbmwdn8BzGZEkRyc0dBfHQcOzfg8ChM882FGe6mTC-xNOKHzTLgNLigBuUlQLuxkfr84dpOGkjOJ0ZnbGbw0xCGgBMwALbmcEmh8p5PGjhV_3DVfplweLiCHHTZ-V3U1A7uWb-XHB2XNV7gu9hYJiqPpDbVjc6GwC09-KD2KFEU753lpQ_7CPydRq_YBJVOYNfwkxcb8P5RLiIkFRPBN86ZUODKwhMmkC6etqUiczyr7eMiCFTfZfvFBUU4WT3EX2VMRylIJJw_USqlfDcW04yxeDHj_ccGaBcIG_IRbGHQlREAr_3tHY1dDVOBjiGdlKJUqgMwHCT8-u4w4RLKTMwQnrtqdCZh0HZQ4tXG4pyFeW56vpu9Du5okbCIHN-fVOnU2LmIjNgVC6-snxIo7-NcrV90LiVGPqDoRyw_b8ieA0y264_7f9KgeSae-DTcuwV3GDnALoPBnJ0R6Pgto46EHKelDWAJ9GOGOk_L1bRGIWRJCQKNIJRARACSNIcb9jKOfnMIVcT5v8Yt1GasEFd45q9S_Vl5bceahN-KEl_tLMoToa-Dui-5xFqR_BSy6BV7V62yjt4B5h2wZHcvnjeTbdG8b4NXOhGrmKAFKEO-6muNAK748I7b9PbxQU7aTWG12SJMGWkje6CPABgQqIhXRvuT0z7haIrKZUUSKETfJhXF69OJNQtRRI1FahM-xHCOpveyc00ABIFOY_OOof6cmMNvyqA92CWfw8symzxtwgEGbK9e4k6jf7YsYyY6YrEsCpkd6Aj2LD5rMPQeZEQ&__tn__=C-R,"快訊/上市水泥公司
老董驚傳辭世！
接班人選公布了",10月09日
4,Yahoo!奇摩新聞,YahooTWNews,/YahooTWNews?refid=8&_ft_=encrypted_tracking_data.0AY-WnT-nmb4YHhkykL4ZMy-CkKQWTlimCwE2kMUwmofrNqUZweQY8NdmASiLmytN6m_ctaiuZ7vXXV3OH_mfZqvSxhGD8cKHA_ALLdnwg8-KZC16x8Y3kE7fMzp3wDdmKIjZDSy_CNoJtIwdUDqi4WUdexph9uXiffEt312F4rcluEMF9BPvswYwUfMncHfaYCBMI-G4zV0J10YpIS5TgmU7Z6vSKtBy5e3avMt0mk_XANlEFiWj7ttjiTyjlkTpGrxoggwJxhw8-55Brs6UgSzNXHU3jq_eg_TRIiKgeN1iyUdyhTnlWF_4zkw-oNlmf4of6OqjvQI8dPgi_dG-Em2elFaQvAyj9r48XRjhSNak5t041XkGDxQwK2CQHrzZj23Es84tbv93sJviLagoTuIT99en2ApOs7EVjNE6EWGAtj_dj-7nO5Fn7Va0yQFKfi2WWTkvy1jRx9YGQGcXPF8g4ponPkgDozdq-K-ls2tdWm_f0LdVA5bKACfor3lmVCVjUv6rybemLjYvkGvt8MaF3FG-jBWPCorsmGIbQG0OGAYcYb6OqQsFP2672mYqT8lu4OjbcHErOl3EnXwUMnpWOgqCuSdLH5apU0qkllN_hT9pEIvsq4BV8CEP6xAfEjKJyGBOIMI72qbe6HNkiBM0Nw1D9vh8hsT9FRR22CtCS8uTwWZ5x3niPWP0BuoBd3z2RjjPqTuhgWosBldibQO945bVK3DtfgzCvsPGV3H3LxKHSiyu5J0sAzPfF93nPvfdV4q3GQmj0QCmCCDXHjnL0BYjxlScQC9cHbuQiiy9qaBhUUQGXScXGBt8rad2WY-VIizzjdvlXYOzUJS0525btggh4-HlqvOPFlxew2by2BdL-QKm0xEOeMuImVLyR-OsY3L7I1F_ftlqI5jlS3wYPVK0o60ex3pAW8vc6CWxRrnWh-YH_wxUdE-75I_Ef8M-WH6mdNSVLAVhAYII3ffZ6-qx0i_zcMwuc9jksPYDX1jSmvr8JsIq3aJUfj2KQifp4n7NJEIiJMJiI0hNO63U92VU24LAOGFoHyLG9sdosoSq61YyhOQRopJ3887DAUHk77FsaN7kyOqvh88TnEF6chFLTlDIKMzMkeX5nuUZXN5lAdDPfJQErZetn63A8xkSUt2KvDW0aSG2n4Xl-eu3TCH9pIjtdtd6pvjVkTwkGfGlEYohdopJoesHA4A6xbidP_JNJcc0Yd-HatgxEJ7XZT7bqvTiCqdIZ6FDai2WeTwmRp0O5pLSCZaXuGr8y2wZAgHZZYeKersgxk1JoNjST9Pqc1D9yie_4dB0o1Md1BjsdkvcydMzd0wBBpGR0xnVmnyc4LO5PIbqipb1X9ak3BIo41NaggEftGrhzOaobsEG2Dfci8nwJTjBD__7ZsPAPbe-z717pFHZtvBn7v03zX58IuIzZTsQK5yVdjXlp5w_-aOstX0YMp9gYS60a2wPOqoQQznJ3pfUWCC41u5d6FWhpkZ6Z9fdVFuYgJoDIuNzaystMUQ&__tn__=C-R,"營養功能醫學專家表示，生活中的毒素無處不在，平時如何防範成為重要課題

#毒素 #生活 #YNE",10月09日
5,民視新聞,FTVNews53,/FTVNews53?refid=8&_ft_=encrypted_tracking_data.0AY-_NYMQZAmjox_tROI-E9hSS01xzGxqyeGa4q1XP-GfrcwMx3YzMfPOFsRprpfz2XQRPz5SSl73RlRxhNtIKJgyxETdhYhS1d-76T5ZgnjwpZJtsmpTDbhGlSIL72goD_v5pSa6G2m7YyjpIltJbLeKvRkt-l2m5uhvOBrjFG1KLJyLNG4FyjQb6ZNf_mB0XdNx1atmqYAsuc-YG-QK24KdvNX54N-mhhavAtJUHHEwYj8mAutPVqwfaDU20Txi_bP9RzQFZsNtu__6O36Eaf0vXcCXL14SEyNziiHrZ4V2FAC9Qi-LJIT-3izhgSNxj3SIlRdOpkCDYVf2-M7J8tbhzQG2_SzuuIO2hXIVxb7mB6u1nYrJRZqmsNF0P_QtUvGxAANt4c7DruLPCgqnMFQ8R92uzXn7K9SlmL4KYfK4SzeYWySm-iKbdUJSmFXtkr1OuD7OEwAO27edzhYZfpo046Dn2gKfEllT1K7uGluV47DOUpgT4XyXLy5GLkxjqSpfnp-4RRaAIFGO0SZ07fcCTaqqRm2SHgOiR3oPEg3JrWZEy8pbdG4-PfHlHLol8DtBGS1g4pvmQeAvE7w6nbDibDNogqnuLP1nKxk2aj4KUbzMpFMGqqc0EwmX5uQF0MEtZZ8I9uKNssBtoz75DCEDEe00Rhu4AOhF6U6wcMj_yVXTkbE8clbPpjaEDean2mLCVKphS0ZPIO0-whFH8-2kEoozQBEY_p54ZHeo_WekqqC8ldS6IC0CJlwhNzQCKQELvjfqiU5tP6t4Voo59gCZ49vwOCfPJ0oOU_JA-Fp8t540Rval2KXKnSg94haam0ldHG8o2NKYn8etSYhj4y5BIcAL9Nc1IfNQc_PCdpngxRRwW97ebiA43Kc5GL8e1WcII32SVWC2B6gU93rVT9mhPAcCTG7u569IlkMBVPDKxixGon2SzYUAwiDwLTek_FFSWvV07hQVj0yW_dRk0zVzxs-vDzh2zMjL7S8NRpoHo9rxGT_kcMK8nSLO1mcZkpRCuc-UkVoXQeslz8jU4iOnS3ku70Tn1CaavTh1NoV3879W1RJbu5xNko875jLp0bwmbLmUY3LVwqBROklZPPTQBItOZzB8f36ntLqr7kI1O15P9LYsA_1zGoRS9eSyprjRY-bcPQnD0gmsa9dqUmQ6kMInNd_bznxT6yjf7vZsMkDOxElCvKlUYFTYi9CbirMng2Zqho91v0tXfb2jdM_Cr4ZPaQhZRfMFYqjoElWWj0H9Cn8kvRGFuCurQtfAUWDNmPOVy2TizJyemz7W_8qoLCo2W1kW_Hc-WplKai2GXg-BOVFCs9aTDtgywj4hCibWigGjdi894UaXB2XxhGHAF3dYl0c3-z5FyrWF3Gx_sx0qd4EDNDhxLSZIGrw1mUAwxT_dF764Sshxz6b8ril4XrH2aenQ9JdCuD_1LdpWNcI0uOBu0iOTb7mrYaiAZqVqBFWtOv2GWboZdJ7Cq-EbRm_7IaJMCxKAgx75OGwSgJlKR0ztU5GWBjhNqv6sQco29eu7ZdVjdr1G73Idz07DbJGBTyAITAbOJNUiS5wOj1lT37_45Hd1YIM80YAZlFstS8fo9mzubMIv2V_Wqcdo6aC_d08UvtTkq3q6gjVyS3JWuLXW2q_-yddLby6KRYmLsqVEehefCMkK1aloLyzloKEVyUCRkZAZbTg2lPR01t7WNM7BFU_OR4VU8jLKd4iz6hflFuP5KYoWZvstI8K9oylJ9OSsPshGmVn6aI2jocNTk72jZ5rsBzZtBy_aFuy6RoBzQ13YonkYXtSKibrgE3jSV3oMyFGlTZkL-rdBMFM&__tn__=C-R,"紅7寶媽「#林叨囝仔 The Lins'Kids」今年4月遭疑訕笑、歧視資源班學生，引發各界抨擊，現況曝光（#希望在這編）
第一手星聞",10月09日
6,東森新聞,news.ebc,/news.ebc?refid=8&_ft_=encrypted_tracking_data.0AY_saPcLzXqh6QhX76c70i5mn8YW3f6y0SEMA0mfi9eQHds5pnmbpw_0-4eapficwvgS3nr0mw3SH-g7CyEmVyfuohgHMg0y2ggF6KRFXbgeas10AduYUnKfU7EOwZSCmfbMiab1yuAYypQNw2q2QVK7LvHxbcGxoQOcimo5h89KOp1ExS1eTyz6aZLbhea3LQWtYQx88lGgKNcJnLPrmBuTPqUvcre722FJJhWuAb24vp_Kt6O2-VpkMmX7m4Oa2nMS5WmkpruiWxmy5_-m7-5kjrD3tEjOyEx4-tmHsFS_OCHw9Ksn3wC8__HTTV2dW5XKUDZ4rw-lRC1YwX8xIkz4LRpD4lfxq6cY9DTItF9gLwRToINe1_YPeH17neDstyhZRA0rrb1xr2-Cogquq07kqvwLLxJk6deNe8rVeczgv9J3kh4xL79XI0fbgkFBuL6pW5LKMVKpPEONKgOD1PTp-NnAp-_McCeZOxkYeS7civnnu4__hZoXyp6PN3b--xIgtWyELrAUo8wkr7j9zS73xadiUEE_BCWk2IE8Um9TX9TdSlyGKMCSHJM9crZ7nSUUlOzSMuziYl2UC9Z3dWYDv_g0jtN5JCkHG8lKhkIW2N8-s8T2NcmTDAklnVhTHYW3B6s8lqnePG23VqU33MlnedVczkFJa9lpN8CRMI2JVFT9phA-Mn4Az5iL2jqFM-3vGuyE-I_3U2FKKhgpt-EAM42jsXtNqYC3MM5CgYlgYeB83WVpAWPRbuVt1L9BQamS5n4cNdOtSHmqWBdUP6cTOmFAZSLulZT8Ttes6SJ3l5zUB953I0BQfz9SvckRA17-Slyjl32oJLS98XUzuhRK_OwX8TNnOYR-0TTCwWwE2m_Nqu6dLFRBSQr8CPvcH8yoHcpRvAJ8XNbuJ5ANlytpoafFNWn86hFvwTyQQCAairNeldC8DjwU0OMwQINaY6gsxIJ9_qRN5sLQzWHhgAxUsWcmKyiB6ph1BbKGwdYylc1jIgcLuur7zCTnuRPU7WU-k8YfQOO8UC7FKBQZfmbgiFdusz6mio2qBuAeppHnURRtSFSMgXY2HsldTlDnpNdpgwTfcie3GxkbbW-jFDkflgpM17XmbZGd64KGm_5_vVjWPI5VgBJwo1H3Egn6pFvLBIG1MbDt3aoQRAdSTu5vstwbw1pw42c3yB6C6yjki5QGWJV2AbGEYtDYWNIcc8Uychw7uhe1Ti5MxgZVmP8BAD6B8y7chqvTDVOP0tWKnvyO3wNFbPAc5OqJsvnYxUebQMqqllC7k-Q75UvhL4rEP7_df8beDjpaTRI_x8g0OfaqIhb_E_ovr5u-pO0qIZ9dRFiNCGpzR49P-6BaCiGdjD6IFLV6zwIwPLfsWzHBh3s&__tn__=C-R,"5寶媽當保母
涉虐死2歲童
本人照片曝光",10月09日
7,新聞深喉嚨,DeepThroatNews,/DeepThroatNews?refid=8&_ft_=encrypted_tracking_data.0AY8400oR_10naFosr8Z1zRi6QkuxiJlI_dQTlhINAJFqN6DaP0e1QX6OL0I_u6nESzYsgsbe24jflLFfTWlJswqbyEAaQSFmmeC84EsLFDoIrtwa9F8QexD8yjR4Ct9dIhSxknf1ERbK4Jh2Bw6jOidfsal9zr1aCwaKTWwgIEeJ0jZYmWv5kKeFSLsq98td9sd_U58BYWvVeXmhX0UhwtW_R3ql_iL0DERAQs7LCMV25y0WhHzeiUb_EQBOS_WGctGu4FoAKhF2n3Q2rFwInHP1MEBtapnhf2pXzZJTILkZevtBoy3OisHDFAy4mnU5nuBUkDrd1eNIkq-l2zoS3uzLd56isaJwHSUQZkDaWUHt1lbW1uxl-CboRUtjZXR_NAZI19TuQmnalTRupfGM4lAuEoWGQZekD_sfHNdtFtnhhNNZ7rDD7XZ1OBZd2cwdMPF5WNJM8Z6wNQpTQuE_kXJz8ZztP7Mgv_w_2-0oX2ZBOVtpW-jvji6j2tPck-2ftzlBUOb_XebRG2FN8cgQmYVa0FzWeoNybA5p9MGu4ataHceyMYrznpTx4XPn0d2rKsTdxbL0WqzVOzvLniOrPiFUPA-8ws0YSOL8EZGg8CJXnleuwdfi2fQeD6exTFokysca-GMTWtB8W52QMWoDKcBlkl59H_4VGCsyxXfrujTQhKGNYyLD9O3DkSfMO-QDpZxhcvc2GDVl8G3ayb-Ul64HT0VrGBzV4fta1fuZGa7Ae41Alofaj2qRkQ6IWNut_Xn6RV3vf-jKN6_lRa4xtYsQDZXldexsNDPQE_-x4UujQ1HXQpKoPw4SIJ8ooJGZv-5LUOBFkzah2amXCc264T_syPR1sshUIW4u9TpxM4V3kSJTkFtuXz_Oie3opcya2FGyacslBVpyp4IgtI4AeuIh8twGdD-ZQrh8HZsUsDj4qSdYQzGCC84czYOfBB1cj_C4VFJorRvLMF6oBikUbUK_dSYVpiKCFxtpq-qfsNfgr-sqZOX7KXqX5FSzMdE5uMiunCeX2qXUcG0Edxl9Ed6PIO8OqHPY9xK-_06msAonqqD7CRcY7jTOzjM3iAYymAi-5H4ZjeVGvkwlHZsRZikkbAaKkI7roiDk8E13IunX36AfKv5J1nxESzrufGU5djqN5kfw33MdO6r13M2evqQ46kt86MQa8914tnEa-ALvnhbrblcGtRoRZ2Ns6KgfQelDfuwUNj-4R-JJYb1OVf68KuxJZMZKBiUA8MxWGJfTHhlAQckRCj8n3_1kS2RYklOySi3hA8ymc4V3L2vRLqMOIkIb6hYYt-NeZM6f-UWWXZbm5XBr57IdN5A0TWp6gEziRjD2CkesCWPqGgmy9ITPZwd7e-2hJhYPNkdstGdG-MNKEw&__tn__=C-R,"快訊/監視器畫面曝光！
基隆某社區選舉公報遭丟棄
警查出是「他」抽出信箱",10月09日
